"year_sale";"month_sale";"IDATVEND";"ETAMANHO";"PORTO";"zona";"EESPECIE";"tipo_barco";"estrato_lei";"anonPRT";"QVENDA";"VVENDA";"DiaSemana";"PMED";"tipos_barcos3"
"2005";"Aug";2005-08-23;"3";"PENICHE";"Centro";"Sardinha";"traineira";"16-40";"afh";3510;1563,59;"Tue";0,45;"Traineira"
"2005";"Oct";2005-10-06;"4";"FIGUEIRA DA FOZ";"Norte";"Sardinha";"traineira";"16-40";"ace";5670;1640,16;"Thu";0,29;"Traineira"
"2009";"Jun";2009-06-26;"4";"SETUBAL";"Centro";"Outros";"traineira";"16-40";"bff";144;25,92;"Fri";0,18;"Traineira"
"2010";"Mar";2010-03-04;"4";"PENICHE";"Centro";"Outros";"traineira";"16-40";"ahb";4068;2734,86;"Thu";0,67;"Traineira"
"2007";"Oct";2007-10-08;"4";"MATOSINHOS";"Norte";"Cavala";"traineira";"16-40";"aef";90;16,6;"Mon";0,18;"Traineira"
"2006";"Sep";2006-09-19;"1";"PENICHE";"Centro";"Sardinha";"traineira";"16-40";"ahb";495;329,61;"Tue";0,67;"Traineira"
"2009";"Jan";2009-01-16;"2";"PORTIMAO";"Sul";"Sardinha";"traineira";"16-40";"bif";10500;4089,5;"Fri";0,39;"Traineira"
"2007";"Aug";2007-08-10;"4";"POVOA DO VARZIM";"Norte";"Outros";"traineira";"16-40";"bfg";16,5;31,79;"Fri";1,93;"Traineira"
"2006";"Aug";2006-08-22;"4";"MATOSINHOS";"Norte";"Cavala";"traineira";"16-40";"abe";517,5;124;"Tue";0,24;"Traineira"
"2008";"May";2008-05-21;"2";"FIGUEIRA DA FOZ";"Norte";"Sardinha";"traineira";"16-40";"afg";1890;835,2;"Wed";0,44;"Traineira"
"2009";"May";2009-05-25;"4";"SETUBAL";"Centro";"Cavala";"traineira";"16-40";"bde";488;195,2;"Mon";0,4;"Traineira"
