"DATA";"CAV_CAL";"CAV_GRAF";"SAR_CAL";"SAR_GRAF";"BIQ_CAL";"BIQ_GRAF";"CAR_CAL";"CAR_GRAF";"OUT_CAL";"OUT_GRAF";"PORTO"
"2005-02-03";90;90;7762,5;7762,5;0;0;54;54;89;89;"PENICHE"
"2005-02-03";0;0;4620;4620;2060;2060;2,7;2,7;247;247;"SESIMBRA"
"2005-02-04";0;0;138;138;0;0;251;251;29,9;29,9;"SETUBAL"
"2005-02-05";13017;13017;2336;2336;0;0;56;56;1014,9;1014,9;"OLHAO"
"2005-02-09";0;0;23782,5;23782,5;0;0;2304;2304;20;20;"PENICHE"
"2005-02-09";0;0;2100;2100;0;0;46,2;46,2;213,4;213,4;"SESIMBRA"
"2005-02-09";3750;3750;5498;5498;1550;1550;57;57;635,6;635,6;"OLHAO"
"2005-02-10";0;0;46600;46600;0;0;162,5;162,5;691,4;691,4;"SESIMBRA"
"2005-02-11";0;0;14152,5;14152,5;0;0;522;522;8683;8683;"PENICHE"
"2005-02-11";48,7;48,7;0;0;0;0;66,1;66,1;327,6;327,6;"SETUBAL"
"2005-02-16";0;0;12120;12120;0;0;28,4;28,4;0;0;"SESIMBRA"
"2005-02-17";936;936;20400;20400;0;0;91,5;91,5;462,1;462,1;"SINES"
"2005-02-18";0;0;4600;4600;0;0;50,9;50,9;3822,3;3822,3;"SESIMBRA"
"2005-02-18";0;0;968;968;0;0;271,1;271,1;557,5;557,5;"SETUBAL"
"2005-02-21";13;13;1940;1940;0;0;23,5;23,5;172,4;172,4;"SESIMBRA"
"2005-02-22";0;0;0;0;0;0;48,4;48,4;454,6;454,6;"SETUBAL"
"2005-02-23";0;0;1120;1120;0;0;6,6;6,6;381,4;381,4;"SESIMBRA"
"2005-02-23";0;0;1061,9;1061,9;0;0;213,6;213,6;176,2;176,2;"SETUBAL"
"2005-03-02";0;0;19080;19080;0;0;3;3;50,7;50,7;"SESIMBRA"
"2005-03-02";0;0;8514,4;8514,4;0;0;2805;2805;123,3;123,3;"SETUBAL"
"2005-03-02";11;11;0;0;0;0;2;2;39,6;39,6;"QUARTEIRA"
"2005-03-03";0;0;4620;4620;0;0;5,5;5,5;143,2;143,2;"SESIMBRA"
"2005-03-03";0;0;7991,6;7991,6;0;0;1170;1170;189,3;189,3;"SETUBAL"
"2005-03-10";0;0;7950;7950;0;0;26,4;26,4;25;25;"SETUBAL"
"2005-03-11";0;0;570;570;0;0;2,6;2,6;46,9;46,9;"QUARTEIRA"
"2005-03-12";464;464;10896;10896;0;0;3;3;254,6;254,6;"SINES"
"2005-03-14";0;0;5760;5760;0;0;9,1;9,1;188,3;188,3;"SESIMBRA"
"2005-03-15";12285;12285;14692,5;14692,5;0;0;2034;2034;0;0;"PENICHE"
"2005-03-16";17460;17460;24502,5;24502,5;0;0;11718;11718;216;216;"PENICHE"
"2005-03-16";1540;1540;0;0;0;0;10,6;10,6;246,8;246,8;"SESIMBRA"
"2005-03-16";722,6;722,6;14496;14496;0;0;76,8;76,8;46,3;46,3;"SINES"
"2005-03-17";2632,5;2632,5;19327,5;19327,5;0;0;1008;1008;0;0;"PENICHE"
"2005-03-17";1032;1032;21576;21576;0;0;43,3;43,3;1423,6;1423,6;"SINES"
"2005-03-18";680;680;4095,6;4095,6;0;0;160,9;160,9;1820,2;1820,2;"SETUBAL"
"2005-03-18";480;480;10632;10632;0;0;773,7;773,7;4532;4532;"SINES"
"2005-03-19";30;30;11890;11890;0;0;1239,4;1239,4;1311,5;1311,5;"SINES"
"2005-03-22";4656;4656;27096;27096;0;0;73,5;73,5;648;648;"SINES"
